frame,X,Y,Z
187,42.4520,90.9982,47.2121
188,42.3959,91.1683,47.2800
189,42.3615,91.3064,47.3292
190,42.4673,91.3191,47.3444
191,42.5711,91.3550,47.3988
192,42.6339,91.3850,47.3954
193,42.6739,91.2948,47.3681
194,42.6950,91.3404,47.4130
195,42.6862,91.4035,47.4480
196,42.7218,91.4781,47.4782
197,42.7186,91.7029,47.5379
198,42.6945,91.9095,47.5902
199,42.7647,91.9627,47.6064
200,42.8277,91.9949,47.6165
201,42.8454,91.9779,47.6137
202,43.1118,91.6831,47.5498
203,43.2522,91.4782,47.4665
204,43.2538,91.3179,47.4065
205,43.2153,91.1129,47.3444
206,42.9401,91.0942,47.3275
207,42.7332,91.1267,47.2888
208,42.5711,90.9653,47.2227
209,42.4509,90.9318,47.2356
210,42.3795,90.8757,47.2348
211,42.3999,90.8069,47.2272
212,42.3855,91.0538,47.2895
213,42.3755,91.2296,47.3714
214,42.4751,91.2646,47.4058
215,42.5332,91.4022,47.4155
216,42.5883,91.4767,47.4579
217,42.6854,91.4502,47.4677
218,42.7860,91.3989,47.4660
219,42.8452,91.3513,47.5371
220,42.8800,91.3588,47.5882
221,42.8146,91.5063,47.6508
222,42.8172,91.5509,47.7169
223,42.8632,91.4786,47.6961
224,42.8054,91.4976,47.7348
225,42.7505,91.5170,47.7216
226,42.7398,91.4569,47.6972
227,42.7128,91.3761,47.7098
228,42.6744,91.3549,47.7615
229,42.6342,91.1615,47.7500
230,42.4838,91.0711,47.7851
231,42.4165,90.9536,47.7537
232,42.5214,90.8324,47.8015
233,42.6269,90.6798,47.8502
234,42.9582,90.6923,47.9461
235,43.1983,90.7894,47.9492
236,43.4026,90.9568,47.9775
237,43.6061,91.0694,48.1127
238,43.7928,91.0298,48.1698
239,43.8630,91.0498,48.1757
240,43.9062,90.9368,48.2260
241,44.0184,90.7260,48.2243
242,44.1908,90.4762,48.2722
243,44.3807,90.3252,48.1499
244,44.5351,90.2185,48.1495
245,44.7097,90.1833,48.1954
246,44.9207,90.1002,48.1721
247,45.2163,90.0422,48.0449
248,45.3699,90.0094,48.1208
249,45.3618,89.7188,48.1775
250,45.3183,89.3995,48.1771
251,45.3376,89.1702,48.0166
252,45.4737,88.9817,47.9865
253,45.8685,88.8374,47.9662
254,46.0409,88.8135,48.0057
255,46.0820,88.7538,48.0558
256,46.1062,88.6650,48.1495
257,46.2040,88.6131,48.2075
258,46.3875,88.6283,48.2170
259,46.5818,88.5583,48.2437
260,46.7428,88.4171,48.1992
261,47.0061,88.3351,48.1758
262,47.3284,88.3966,48.1903
263,47.6239,88.4989,48.2540
264,47.8458,88.4167,48.2593
265,48.1090,88.1169,48.2062
266,48.2054,87.8555,48.1923
267,48.3293,87.5193,48.1432
268,48.4921,87.0665,48.0565
269,48.7155,86.7607,47.9985
270,48.8050,86.7208,47.9966
271,48.8969,86.7889,48.0936
272,49.0174,86.7309,48.0917
273,49.0496,86.5789,48.1006
274,49.1351,86.3083,48.0652
275,49.2920,86.0755,48.0291
276,49.4703,85.8566,48.0284
277,49.5594,85.5807,47.9939
278,49.6315,85.5236,47.9989
279,49.6725,85.5976,48.0271
280,49.7561,85.7788,48.1149
281,49.7641,85.8784,48.2029
282,49.7924,85.8388,48.1948
283,49.8329,85.7600,48.1014
284,49.9418,85.6864,48.0025
285,50.0745,85.4798,47.8303
286,50.3029,85.1694,47.7238
287,50.5665,84.9130,47.6456
288,50.8937,84.7510,47.4854
289,51.1547,84.5465,47.3653
290,51.4170,84.3089,47.3061
291,51.5571,84.0302,47.2005
292,51.5827,83.7790,47.0025
293,51.6223,83.4929,46.8144
294,51.5785,83.5726,46.7592
295,51.4619,83.8908,46.8638
296,51.3856,84.5036,46.9109
297,51.2946,85.0065,47.0080
298,51.2356,85.5246,47.1167
299,51.1960,86.0074,47.2600
300,51.1927,86.3864,47.2911
301,51.1930,86.5055,47.2846
302,51.1283,86.7287,47.2770
303,50.9572,87.2213,47.3540
304,50.8672,87.9139,47.4932
305,50.7901,88.4817,47.5738
306,50.8867,88.9690,47.6587
307,50.9645,89.3422,47.6908
308,50.8847,89.6808,47.6968
309,50.8195,89.7478,47.6303
310,50.8257,89.6084,47.5491
311,50.7458,89.6123,47.4435
312,50.6760,89.7394,47.3328
313,50.7569,89.9258,47.2941
314,51.0544,90.1222,47.2566
315,51.3770,90.2170,47.3451
316,51.5498,90.4154,47.2788
317,51.5484,90.6579,47.1901
318,51.4831,90.8216,47.2161
319,51.4189,91.0914,47.3095
320,51.2944,91.4936,47.3061
321,51.2569,91.9519,47.3553
322,51.2726,92.3634,47.4554
323,51.2350,92.9066,47.5458
324,51.1270,93.3393,47.6236
325,50.8919,93.7767,47.7091
326,50.6674,94.0823,47.7310
327,50.5755,94.2831,47.6729
328,50.5357,94.7454,47.6420
329,50.5506,95.1676,47.6579
330,50.7447,95.5321,47.6964
331,50.8401,95.8394,47.6638
332,50.8335,96.0505,47.6875
333,50.7668,96.2651,47.6451
334,50.7240,96.4936,47.6810
335,50.7440,96.5040,47.5976
336,50.8606,96.5648,47.4859
337,50.9909,96.7104,47.4453
338,51.1708,96.9521,47.4206
339,51.2336,97.2323,47.4747
340,51.2045,97.5713,47.5840
341,51.1866,97.9082,47.5666
342,51.1298,98.3260,47.6058
343,51.0089,98.7112,47.6974
344,50.9938,99.1513,47.8401
345,51.0225,99.4989,48.0599
346,50.8899,99.9744,48.1757
347,50.6830,100.2686,48.3593
348,50.5330,100.6527,48.5555
349,50.5018,101.0645,48.7165
350,50.5247,101.3122,48.8140
351,50.5591,101.5057,48.8452
352,50.5979,101.7218,48.9256
353,50.6406,101.8795,49.0188
354,50.6659,102.0631,49.0194
355,50.6819,102.1371,49.0113
356,50.7370,101.9130,49.0206
357,50.7741,101.5092,49.0394
358,50.6967,101.0489,48.9982
359,50.5697,100.6716,48.9105
360,50.4943,100.3648,48.8771
361,50.3905,99.9548,48.8415
362,50.2865,99.7082,48.8192
363,50.1002,99.6196,48.7037
364,49.8819,99.7175,48.6298
365,49.6669,99.6246,48.7389
366,49.4783,99.4681,48.7419
367,49.2625,99.2560,48.7524
368,49.0540,98.9555,48.6790
369,48.8490,98.4962,48.6826
370,48.7504,98.0851,48.6155
371,48.7138,97.8641,48.4674
372,48.6872,97.9923,48.4014
373,48.4614,97.9962,48.4935
374,48.2449,97.8891,48.5219
375,48.1140,97.9053,48.5197
376,48.0342,97.9427,48.5628
377,48.0318,97.7410,48.5751
378,48.0187,97.0979,48.5365
379,47.9924,96.7010,48.3963
380,48.0619,96.4449,48.2333
381,48.0399,96.2734,48.2064
382,47.9022,96.0351,48.2708
383,47.7403,95.8079,48.1743
